# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 260:         5.180       52.100       1.90  DE BILT
# 285:         6.399       53.575       0.00  HUIBERTGAT
# 290:         6.891       52.274      34.80  TWENTHE
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# DD       = Windrichting (in graden) gemiddeld over de laatste 10 minuten van het afgelopen uur (360=noord, 90=oost, 180=zuid, 270=west, 0=windstil 990=veranderlijk. Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FH       = Uurgemiddelde windsnelheid (in 0.1 m/s). Zie http://www.knmi.nl/kennis-en-datacentrum/achtergrond/klimatologische-brochures-en-boeken; 
# FF       = Windsnelheid (in 0.1 m/s) gemiddeld over de laatste 10 minuten van het afgelopen uur; 
# FX       = Hoogste windstoot (in 0.1 m/s) over het afgelopen uurvak; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# T10N     = Minimumtemperatuur (in 0.1 graden Celsius) op 10 cm hoogte in de afgelopen 6 uur; 
# TD       = Dauwpuntstemperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# SQ       = Duur van de zonneschijn (in 0.1 uren) per uurvak, berekend uit globale straling  (-1 for <0.05 uur); 
# Q        = Globale straling (in J/cm2) per uurvak; 
# DR       = Duur van de neerslag (in 0.1 uur) per uurvak; 
# RH       = Uursom van de neerslag (in 0.1 mm) (-1 voor <0.05 mm); 
# P        = Luchtdruk (in 0.1 hPa) herleid naar zeeniveau, tijdens de waarneming; 
# VV       = Horizontaal zicht tijdens de waarneming (0=minder dan 100m, 1=100-200m, 2=200-300m,..., 49=4900-5000m, 50=5-6km, 56=6-7km, 57=7-8km, ..., 79=29-30km, 80=30-35km, 81=35-40km,..., 89=meer dan 70km); 
# N        = Bewolking (bedekkingsgraad van de bovenlucht in achtsten), tijdens de waarneming (9=bovenlucht onzichtbaar); 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# WW       = Weercode (00-99), visueel(WW) of automatisch(WaWa) waargenomen, voor het actuele weer of het weer in het afgelopen uur. Zie http://bibliotheek.knmi.nl/scholierenpdf/weercodes_Nederland; 
# IX       = Weercode indicator voor de wijze van waarnemen op een bemand of automatisch station (1=bemand gebruikmakend van code uit visuele waarnemingen, 2,3=bemand en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 4=automatisch en opgenomen (gebruikmakend van code uit visuele waarnemingen), 5,6=automatisch en weggelaten (geen belangrijk weersverschijnsel, geen gegevens), 7=automatisch gebruikmakend van code uit automatische waarnemingen); 
# M        = Mist 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# R        = Regen 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# S        = Sneeuw 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# O        = Onweer 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# Y        = IJsvorming 0=niet voorgekomen, 1=wel voorgekomen in het voorgaande uur en/of tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,   DD,   FH,   FF,   FX,    T,  T10,   TD,   SQ,    Q,   DR,   RH,    P,   VV,    N,    U,   WW,   IX,    M,    R,    S,    O,    Y
# 
  257,20171003,    9,     ,     ,     ,     ,  144,     ,   87,    7,   88,    0,    0,     ,     ,     ,   69,     ,    6,     ,     ,     ,     ,     
  257,20171003,   10,     ,     ,     ,     ,  142,     ,   86,    4,   93,    1,    1,     ,     ,     ,   68,     ,    6,     ,     ,     ,     ,     
  257,20171003,   11,     ,     ,     ,     ,  151,     ,   88,   10,  179,    0,    0,     ,     ,     ,   65,     ,    6,     ,     ,     ,     ,     
  257,20171003,   12,     ,     ,     ,     ,  156,  129,   91,    9,  156,    0,    0,     ,     ,     ,   65,     ,    6,     ,     ,     ,     ,     
  257,20171003,   13,     ,     ,     ,     ,  150,     ,   86,    9,  159,    0,    0,     ,     ,     ,   65,     ,    6,     ,     ,     ,     ,     
  257,20171003,   14,     ,     ,     ,     ,  154,     ,   86,   10,  163,    0,    0,     ,     ,     ,   63,     ,    6,     ,     ,     ,     ,     
  257,20171003,   15,     ,     ,     ,     ,  142,     ,   85,    8,  111,    0,    0,     ,     ,     ,   68,     ,    6,     ,     ,     ,     ,     
  257,20171003,   16,     ,     ,     ,     ,  142,     ,   83,    2,   41,    0,    0,     ,     ,     ,   67,     ,    6,     ,     ,     ,     ,     
  257,20171003,   17,     ,     ,     ,     ,  140,     ,   81,    5,   12,    0,    0,     ,     ,     ,   67,     ,    6,     ,     ,     ,     ,     
  257,20171003,   18,     ,     ,     ,     ,  141,  134,   83,    0,    0,    0,    0,     ,     ,     ,   67,     ,    6,     ,     ,     ,     ,     
  257,20171003,   19,     ,     ,     ,     ,  144,     ,   76,    0,    0,    0,    0,     ,     ,     ,   63,     ,    6,     ,     ,     ,     ,     
  257,20171003,   20,     ,     ,     ,     ,  146,     ,   75,    0,    0,    0,    0,     ,     ,     ,   62,     ,    6,     ,     ,     ,     ,     
  257,20171003,   21,     ,     ,     ,     ,  146,     ,   71,    0,    0,    0,    0,     ,     ,     ,   61,     ,    6,     ,     ,     ,     ,     
  257,20171003,   22,     ,     ,     ,     ,  146,     ,   72,    0,    0,    0,    0,     ,     ,     ,   61,     ,    6,     ,     ,     ,     ,     
  257,20171003,   23,     ,     ,     ,     ,  143,     ,   66,    0,    0,    0,    0,     ,     ,     ,   59,     ,    6,     ,     ,     ,     ,     
  257,20171003,   24,     ,     ,     ,     ,  141,  135,   68,    0,    0,    0,    0,     ,     ,     ,   61,     ,    6,     ,     ,     ,     ,     
  257,20171004,    1,     ,     ,     ,     ,  138,     ,   62,    0,    0,    0,    0,     ,     ,     ,   60,     ,    6,     ,     ,     ,     ,     
  257,20171004,    2,     ,     ,     ,     ,  138,     ,   63,    0,    0,    0,    0,     ,     ,     ,   60,     ,    6,     ,     ,     ,     ,     
  257,20171004,    3,     ,     ,     ,     ,  134,     ,   58,    0,    0,    0,    0,     ,     ,     ,   60,     ,    6,     ,     ,     ,     ,     
  257,20171004,    4,     ,     ,     ,     ,  134,     ,   62,    0,    0,    0,    0,     ,     ,     ,   61,     ,    6,     ,     ,     ,     ,     
  257,20171004,    5,     ,     ,     ,     ,  136,     ,   64,    0,    0,    0,    0,     ,     ,     ,   61,     ,    6,     ,     ,     ,     ,     
  257,20171004,    6,     ,     ,     ,     ,  136,  128,   74,    0,    0,    0,    0,     ,     ,     ,   65,     ,    6,     ,     ,     ,     ,     
  257,20171004,    7,     ,     ,     ,     ,  137,     ,   73,    0,    8,    0,    0,     ,     ,     ,   65,     ,    6,     ,     ,     ,     ,     
  257,20171004,    8,     ,     ,     ,     ,  139,     ,   75,    0,   24,    0,    0,     ,     ,     ,   65,     ,    6,     ,     ,     ,     ,     
  257,20171004,    9,     ,     ,     ,     ,  142,     ,   75,    0,   56,    0,    0,     ,     ,     ,   63,     ,    6,     ,     ,     ,     ,     
  257,20171004,   10,     ,     ,     ,     ,  145,     ,   78,    0,   75,    0,    0,     ,     ,     ,   64,     ,    6,     ,     ,     ,     ,     
  257,20171004,   11,     ,     ,     ,     ,  149,     ,   76,    1,  107,    0,    0,     ,     ,     ,   61,     ,    6,     ,     ,     ,     ,     
  257,20171004,   12,     ,     ,     ,     ,  140,  133,   84,    2,   85,    0,    0,     ,     ,     ,   68,     ,    6,     ,     ,     ,     ,     
